pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,537602,635005,885965,1014586,1116551,1195268,1169426,1016882,945373,757298,609965,524471
Aland Islands,38074,133943,361771,590018,807283,994121,927224,626259,404767,205582,63434,25404
Albania,260796,347113,619008,771422,918203,999113,1016820,974529,655335,425254,302548,241265
Algeria,652502,766332,954369,1044117,1132056,1160980,1152998,1075599,947683,791570,669390,594809
American Samoa,824779,807686,903215,797619,715583,672109,679691,795552,824396,934185,921353,935521
Angola,836700,841664,769543,768997,809594,819895,797873,932479,940310,980543,869742,799985
Anguilla,713574,807937,900615,986636,920877,933847,901902,946767,906157,741118,701342,642434
Antigua and Barbuda,741022,858555,934659,977445,949529,948667,933106,949817,905910,736172,725958,655605
Argentina,1128235,892517,779096,603274,433092,365795,429262,579641,728308,946866,1108640,1169538
Armenia,344307,492953,665650,754952,906501,1047499,1056809,955839,742515,494314,472190,358194
Aruba,828362,907175,966018,918388,952307,975800,939820,1001598,814425,804595,576432,660802
Australia,1066227,965296,885023,720994,593292,534330,524220,671575,789388,960191,1038292,1034758
Austria,190838,325002,528735,736161,650979,790476,854747,641056,493586,350208,205385,158491
Azerbaijan,290683,400565,613255,657005,842942,1061042,1063491,910447,677641,411250,406412,319732
Bahamas,564886,644457,823163,962195,1018585,1060594,974536,934964,835508,673182,599254,518127
Bahrain,642290,769485,934054,942018,1088165,1114487,1074551,1037999,947590,826133,682600,622203
Bangladesh,703020,791164,886739,832666,723270,560553,632726,633491,588626,622640,623662,591255
Barbados,789071,889902,969627,922760,976130,948674,893796,913118,867827,799471,753367,726910
Belarus,123630,196665,426059,619919,707945,840393,849407,663969,392142,272517,104069,78311
Belgium,126902,200848,425367,723195,696170,875773,836533,586809,451282,305669,122318,98020
Belize,561785,678399,779499,907209,847413,876674,790210,823796,768838,750049,622529,623615
Benin,888880,919761,965916,916928,851505,740712,661391,658589,678240,778847,831981,864812
Bermuda,351685,449017,666011,904184,981656,1077365,973433,906528,786644,618322,474521,335221
Bhutan,603825,671163,726019,799724,777532,608845,499907,534966,547686,628773,484753,541415
Bolivarian Republic of Venezuela,835365,859564,877510,719416,676418,675210,670997,713280,787100,802011,667941,681829
Bonaire Saint Eustatius and Saba,772462,861039,930244,942995,939606,926044,888036,942479,870661,764934,668701,656608
Bosnia and Herzegovina,200002,297210,529053,691146,766684,820344,917389,862384,548293,346299,255088,194398
Botswana,957323,948217,904762,721189,673140,664808,631792,838565,1000870,1124126,1034782,1070302
Bouvet Island,880319,672170,443303,247735,113323,46032,70860,131152,331670,473750,685193,765710
Brazil,776295,796955,769891,686470,654067,653382,672844,818194,890190,869234,830112,783750
British Indian Ocean Territory,797182,859010,855605,871476,756730,772900,740513,780190,840294,912460,942670,895438
British Virgin Islands,694257,813999,903937,982264,916723,935296,899331,938472,896604,769387,684000,647595
Brunei Darussalam,709580,885616,869333,826360,810640,754954,731007,776353,784922,756188,725566,633247
Bulgaria,250463,359799,566981,740443,897065,878722,911343,887478,644829,332948,323741,232964
Burkina Faso,887302,937191,1037564,990505,968360,900888,783236,775602,798366,855667,864892,868559
Burundi,828674,743256,734879,706912,746283,740508,776313,885349,852170,846024,742793,765239
Cambodia,742502,863244,947915,935412,858971,790349,749352,712524,743757,595958,643740,727041
Cameroon,865830,876777,894589,854758,760922,722302,651443,664119,687568,704887,741168,833301
Canada,94387,207059,435876,679927,837849,889189,805141,598672,373506,217531,104544,61899
Cape Verde,795051,889539,1035456,1052770,1063342,1031438,956934,933964,843855,840916,793827,734618
Cayman Islands,625891,735951,878813,999467,978915,986179,907758,983751,829617,694051,692092,625400
Central African Republic,917548,901760,932929,928112,833884,782416,728469,727766,767838,791806,835808,898562
Chad,883617,970177,1085836,1113790,1115994,1052713,929846,918446,947030,927782,893161,860329
Chile,1030924,934273,762860,578355,411557,338679,391693,521861,694198,880644,1026135,1086968
Chinese Taipei,457023,541101,710010,726112,786953,722412,842094,837120,704767,564920,477691,487891
Colombia,813585,767833,768611,649382,614625,615049,612831,680317,746716,727160,625469,655219
Comoros,874220,898325,926632,883956,771283,694730,745018,789597,957394,1028772,1048922,1033792
Cook Islands,911504,778399,908053,776786,677669,654664,663712,771245,878425,865386,998843,980768
Costa Rica,758942,770037,846471,804113,677827,612688,595989,587861,597655,592192,495223,587112
Cote d'Ivoire,812212,811911,831134,833300,778307,671870,647352,621197,642366,702315,735587,743027
Croatia,204850,306053,549693,754626,804987,929781,980664,882440,573248,379320,241869,187747
Cuba,608451,694664,867606,945324,959652,998782,946851,949165,823657,694188,641697,598669
Curacao/Netherlands Antilles,815050,899019,950188,873177,924358,947199,888362,965547,833807,792885,602389,662368
Cyprus,390053,543321,813979,982075,1114081,1152337,1163315,1053768,880668,644154,531170,397873
Czech Republic,149286,269600,478332,723758,563572,802077,831304,621203,449189,318839,149299,117397
Democratic People's Republic of Korea,389330,478743,630772,765215,779283,902377,616327,624614,539031,523196,394543,322607
Democratic Republic of the Congo,822527,785476,816856,805484,790660,743122,755692,832863,826678,827592,771180,777205
Denmark,83253,171571,371936,651345,734475,931574,870837,609750,425785,239420,101798,69605
Djibouti,847295,785260,978287,984862,940344,872277,828354,882506,919955,939329,888178,819070
Dominica,759537,874162,971406,977455,970789,966920,926241,937490,871395,759179,728531,674416
Dominican Republic,629486,745340,824511,905388,875202,892006,900588,933905,817623,763287,631411,571901
Ecuador,725778,692191,722809,669551,619452,612665,624096,709290,769799,772372,715598,657896
Egypt,683720,822136,996143,1110826,1207577,1210000,1174329,1108791,997144,843693,708295,631790
El Salvador,843095,877401,1001020,904791,772208,769592,790276,723486,675328,843010,809570,828000
Equatorial Guinea,667456,720126,744950,746239,667912,586061,567072,604269,643090,611282,612676,674807
Eritrea,787287,864182,989804,1021449,1040485,967971,805815,848877,907979,934575,869674,787347
Estonia,64610,145353,353303,595161,751589,824762,904535,632276,332058,210220,60272,35741
Ethiopia,901770,874863,933047,910133,820129,755151,682098,735980,845710,877015,890141,866870
Faeroe Islands,34174,149901,284516,478298,687176,662360,693099,491052,380075,171270,55555,17911
Falkland Islands (Malvinas),978411,693923,549202,318077,176079,116724,125547,247714,487307,773162,909747,1085035
Fiji,1005307,957405,814835,703992,647469,594889,595875,778038,901476,837056,748799,914630
Finland,22502,99096,300868,506145,691046,819972,750960,515016,266976,125370,32409,9873
France,187014,308678,528069,807343,786251,877686,929646,742643,602704,384788,193842,156172
French Guiana,589024,609463,735607,647855,565856,621763,697603,759332,888057,911811,822680,648370
French Polynesia,826804,819473,850009,847133,687394,600889,665942,753810,878499,975337,1024433,1091491
French Southern Territories,879446,613223,516825,336987,239343,180695,214429,285843,524778,686729,799233,849196
Gabon,682219,737016,761838,736590,669204,591281,576179,613615,627071,650243,643900,688187
Gambia,828967,919751,1057268,1071876,1051029,929532,729658,707913,655749,793982,865898,763959
Georgia,726847,972687,1252924,1674494,1803283,1954055,1943535,1713092,1457544,1103795,880553,714708
Germany,129073,231205,429648,725648,606280,856005,876738,576164,433456,293227,126284,95711
Ghana,851395,867584,893395,871632,802812,674199,660312,646232,649611,739139,780978,806344
Greece,307412,458776,688545,913210,1033333,1070600,1088683,1017765,756348,466896,390441,293453
Greenland,5581,52656,259558,652001,1024460,1192894,1108789,692659,318209,89817,12643,2031
Grenada,822130,914505,989260,902241,915682,888672,825748,867031,823777,801552,732782,707213
Guadeloupe,754524,875102,954009,982192,968772,958041,933036,943841,887180,735740,724573,667287
Guam,731718,881582,940849,1037561,1024472,932957,890490,870997,805262,749234,747355,753732
Guatemala,624913,721693,868862,905007,798484,772519,766994,739843,687912,738570,660776,681089
Guernsey,166710,265401,463410,832899,908531,1031199,921585,699696,553475,312090,176440,125881
Guinea,871946,898055,958218,935498,839682,767265,648326,627000,625775,742325,808089,791038
