País,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,543897,661074,888979,1000757,1140691,1191739,1188002,1089431,916315,747800,553467,483610
Aland Islands,41845,141074,360746,584980,887154,856651,839998,637818,376562,170906,62210,21976
Albania,342731,396077,714842,741456,926436,1156008,1100331,994043,731526,506636,309758,243420
Algeria,641064,778654,926376,1060264,1176115,1183166,1163135,1088162,957226,799077,654887,596636
American Samoa,845165,839021,775752,800545,661840,643554,668011,799487,909325,966830,946613,873720
Angola,855831,837286,815331,862770,838608,804310,824203,864598,938072,905556,852256,784533
Anguilla,719358,841592,915104,1013373,925089,1056474,981974,928555,925544,767547,736055,667659
Antigua and Barbuda,739041,847251,922407,994459,910374,1022226,985993,900415,911659,776713,758485,695465
Argentina,1144051,953562,805512,560576,434623,384059,453253,519044,743607,892950,1085783,1117645
Armenia,371416,555838,751347,851775,912106,1001254,933477,938298,720781,542266,366792,301555
Aruba,785523,886441,907935,964440,991102,1014433,1012691,984490,998964,740060,777685,745498
Australia,1024897,1013973,809973,764286,636587,537878,582330,741366,909727,1058704,1109948,1106847
Austria,198605,325903,580220,706342,862990,801401,752690,756244,520984,349363,204980,162175
Azerbaijan,304457,469390,672118,853374,899025,990677,924708,940366,633281,497643,289994,252345
Bahamas,598234,693024,886070,902898,917456,912651,988285,921601,861105,688162,623550,564010
Bahrain,640886,767775,914801,992715,1118899,1117198,1084229,1054619,954425,807933,637203,538039
Bangladesh,604678,819974,903089,815839,874332,640377,582721,616276,583152,666413,602514,624785
Barbados,790482,899464,858192,976670,856410,961681,925986,847260,944608,802135,816679,730484
Belarus,110279,241945,390760,586590,805123,763803,888336,612368,415777,201198,84494,79038
Belgium,114633,242198,455194,602156,764888,692834,772021,747812,503053,271788,137259,91067
Belize,596617,701629,845774,938939,846594,813790,852757,834371,831054,702474,615897,614076
Benin,888306,887654,998864,902293,829803,752405,645117,647480,708143,824606,825158,847146
Bermuda,426122,504236,750609,908216,888407,912128,1054827,909178,766153,533820,430171,388606
Bhutan,522674,674945,806434,815671,914881,619646,494697,641635,574057,674639,597180,491510
Bolivarian Republic of Venezuela,701504,793637,754383,702972,706193,720260,682667,736598,837419,793633,778203,690441
Bonaire Saint Eustatius and Saba,745385,866619,894416,976957,934486,1005572,971838,905092,938001,765586,768462,702480
Bosnia and Herzegovina,242767,341347,660640,679589,824508,1027813,987032,951305,631195,425745,236487,188790
Botswana,1069874,982597,946008,860009,760729,664795,712507,825863,998274,1073489,1090173,1038355
Bouvet Island,992241,650737,411391,201467,126822,54084,65863,183194,326586,530829,747768,927850
Brazil,740060,773115,777888,724764,662863,641297,700508,806097,888973,901914,801414,836236
British Indian Ocean Territory,746243,829723,894018,897092,820380,671648,649075,793864,826915,788524,782394,745268
British Virgin Islands,715767,824419,911439,1014972,956466,1039945,980802,919426,953058,783293,720313,652532
Brunei Darussalam,684087,762272,805852,807077,836651,814381,731721,855663,791489,740430,664522,707076
Bulgaria,268822,402065,639216,802458,788769,1088303,1071279,929530,716431,487904,268039,221180
Burkina Faso,875682,914957,1042017,988671,983596,933114,799595,759910,842209,882997,863541,842264
Burundi,833696,804349,825738,681728,660958,718537,793137,822557,809002,773529,703196,736699
Cambodia,664186,824696,881777,872209,788987,743723,718018,734979,591216,739772,688359,761664
Cameroon,879613,841412,934974,829601,773986,702896,635542,633960,672148,716857,753934,813095
Canada,94658,222302,430071,695110,837992,836283,809691,607537,412500,198839,99167,63644
Cape Verde,691346,835171,1019617,1014037,1089983,1056970,989761,921272,875704,861612,710042,775234
Cayman Islands,685132,799670,964887,941936,880686,990847,1056600,962277,923374,774629,681217,664454
Central African Republic,956527,933163,999561,955728,857028,808216,702912,710329,770288,823583,826185,890862
Chad,886206,968257,1090105,1123299,1050994,1034693,957165,901980,952436,932938,890566,851457
Chile,1050910,875176,746724,559880,405267,346693,396525,497194,688747,869898,1062823,1028758
Chinese Taipei,398901,444362,674873,711981,757931,699387,884742,722494,779840,688126,456915,363085
Colombia,724686,765160,698024,659455,626762,661501,626063,694694,773640,711972,718332,708583
Comoros,853071,927761,830607,761108,749276,727528,744592,858431,932189,1014888,1038660,977107
Cook Islands,893646,964555,813834,778537,621359,634598,641067,769091,842618,958149,1024024,877907
Costa Rica,766052,866235,910176,822762,722721,724164,647506,711334,695814,623125,555302,663417
Cote d'Ivoire,843609,817300,874511,822678,732709,665534,589712,583857,677597,731894,728880,769190
Croatia,258983,369489,661771,717828,901281,1039129,1020450,948594,623522,417833,239206,196616
Cuba,652905,758866,894812,925875,877131,895856,1003218,934486,882073,727322,644632,622691
Curacao/Netherlands Antilles,756773,876403,857584,923120,955620,975889,971683,949170,981880,750326,780634,729748
Cyprus,409295,581215,819313,973875,1056250,1184399,1147034,1064172,895829,627578,475786,366378
Czech Republic,149721,270763,496442,675899,857925,790641,802616,745511,513715,294084,143761,120927
Democratic People's Republic of Korea,386356,570036,683764,813165,892999,804330,634784,609231,573635,536910,356463,316984
Democratic Republic of the Congo,823055,837262,857815,822792,751978,775951,783725,780289,796108,794820,777317,763617
Denmark,86622,196395,411448,629335,845761,843180,831269,682094,396821,215267,96793,57907
Djibouti,801828,924727,1025004,1004745,997656,875200,864848,935863,909557,954012,872975,800900
Dominica,771087,864518,906984,1001811,887364,1008309,982124,864266,942744,785867,802302,718672
Dominican Republic,662053,771367,882428,873409,959403,993448,967417,862579,919041,728194,643696,648090
Ecuador,644554,668061,677610,693424,631380,648515,643464,723088,787889,753396,741497,704601
Egypt,673913,792447,997547,1128094,1177411,1213999,1183286,1117216,1000222,833608,683228,616662
El Salvador,798703,862197,987754,975580,813730,858058,985250,877490,903817,788735,850259,811971
Equatorial Guinea,666218,687395,749038,726439,649861,600761,574775,583471,638375,621895,624863,646903
Eritrea,768328,906463,978935,1060169,1056093,957378,865480,870507,923085,945273,826731,762217
Estonia,57004,159228,351674,574991,833311,851978,806917,573158,348815,166129,60007,34968
Ethiopia,945219,1043822,1055858,936824,880457,776702,692146,806332,860729,871198,849957,846876
Faeroe Islands,33329,101826,264683,561339,803826,822403,659643,533533,335356,157186,53250,18468
Falkland Islands (Malvinas),998740,777179,513281,315804,160322,108202,142548,264859,432334,741370,999153,924973
Fiji,803323,791319,823260,667695,621029,542163,593915,705525,737484,874423,858057,966844
Finland,20931,97005,310607,498105,768399,703300,688707,493286,254843,99058,25379,9051
France,180576,367435,614712,653453,849532,846941,902476,838733,588507,340854,217430,156175
