Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,563045,656281,866609,1015672,1124865,1227974,1188026,1123789,959163,736014,556585,513187
Aland Islands,41931,140736,366201,617812,993504,994916,950435,704298,441247,202297,57612,21753
Albania,307642,333857,526747,907907,898573,908410,1023127,858606,773305,511425,326221,263975
Algeria,645545,733930,958298,1087669,1135762,1185939,1161025,1032654,916440,792890,657934,615584
American Samoa,866503,818836,893737,716461,729817,667057,658332,773664,886807,930199,885175,865023
Angola,847746,843054,803466,745025,745391,811406,823369,857994,927895,958623,945048,888132
Anguilla,698137,813991,974160,1009110,1038092,1022015,1008358,977684,915478,767949,700573,674122
Antigua and Barbuda,716041,822773,974140,1016276,1029711,1012744,990466,978752,916359,810844,714987,711916
Argentina,1097241,1010967,836030,577551,407273,392219,382273,589240,713421,850310,1045985,1153084
Armenia,363844,515856,685299,865165,884451,1016438,1038234,868718,765259,558233,340345,276225
Aruba,775257,860435,1012121,997902,987407,1018911,1002553,1029570,974750,813786,782736,789410
Australia,1038830,967923,896328,792331,646994,546890,600229,733129,914258,1007243,1089537,1156807
Austria,182771,308815,485099,805869,793019,810531,864108,747139,569624,382170,207405,152712
Azerbaijan,299234,402102,604745,812391,937195,1018936,1052460,873465,707553,480634,277588,229681
Bahamas,492375,750506,872059,979948,810852,1005407,1014710,1000230,879209,759779,644189,533120
Bahrain,658327,743973,947780,964477,1100595,1114856,1077994,1051596,935979,780633,591722,572560
Bangladesh,656802,764550,884116,827918,698181,647098,596197,644974,686078,651543,669373,583902
Barbados,758103,878394,924166,983113,986157,937861,939997,942314,900834,789851,761472,785889
Belarus,89608,224613,420196,675201,910133,848010,694552,739309,496838,284111,98840,54587
Belgium,111430,311075,356070,675957,885372,807896,941111,720027,534345,339663,174070,91495
Belize,522657,716752,860727,932158,926933,771989,907105,836463,783256,684000,602747,609708
Benin,911242,879323,924326,926499,851400,743175,715675,611109,726015,813712,877890,864878
Bermuda,365273,523979,688546,852234,1032515,932164,989849,991447,782123,618559,409628,354263
Bhutan,557116,614340,743766,824986,755236,657693,535930,561752,602878,673666,564768,525598
Bolivarian Republic of Venezuela,774767,808193,869897,765173,701544,669753,699259,796254,792879,780807,736660,772153
Bonaire Saint Eustatius and Saba,738405,838657,989543,987013,1019060,1014530,984767,981624,930999,794611,731949,735357
Bosnia and Herzegovina,237434,294540,467304,811538,876024,800414,879385,799417,670902,443149,248580,189847
Botswana,1160251,839850,873948,791569,709110,669260,634928,824225,1003333,1108577,1171668,1129237
Bouvet Island,803652,619661,386761,247539,121486,76304,84055,151169,344849,526489,713420,953986
Brazil,803970,732495,757840,682016,652570,645470,711264,767699,855124,857003,780356,783114
British Indian Ocean Territory,810861,937755,930510,796985,749142,794089,669780,826739,784983,806640,860895,760116
British Virgin Islands,703234,812900,959857,1015012,1029733,986745,991840,974800,898851,763390,699094,676557
Brunei Darussalam,667202,747980,822106,812339,746201,809577,796585,839924,803297,794075,748928,723365
Bulgaria,274134,311804,504714,877633,932792,922779,883950,912852,688203,478142,252226,218384
Burkina Faso,887325,890551,978807,1023589,985731,906201,823376,752097,854842,888849,880813,853024
Burundi,725986,810791,758347,620856,708143,789600,793440,803952,882714,759368,719012,722024
Cambodia,692590,881713,861671,881332,823032,670381,633487,633174,694274,783533,735129,686011
Cameroon,904897,864271,868486,818835,767622,706725,685662,670633,727718,744033,780889,827654
Canada,96065,220796,438406,730748,901422,881805,816018,595558,397579,216047,99300,67417
Cape Verde,758282,746098,1019288,1026143,1065916,1046153,978790,951224,923724,866221,795028,757119
Cayman Islands,592765,827965,946618,1030681,791556,946685,1048069,994886,887784,771864,730957,646836
Central African Republic,985813,894449,904193,944810,849119,781905,745537,748256,832567,837879,882699,896644
Chad,901645,957982,1076664,1137515,1106964,1027532,975058,897618,951454,948869,902616,843383
Chile,1026625,900552,760327,555055,417419,349927,386331,511707,685726,892382,1047533,1082201
Chinese Taipei,404324,480030,720081,791895,931914,764486,839120,664590,758414,629343,500930,437005
Colombia,718484,817020,785823,667244,608895,593177,644848,752918,770643,701308,676769,749749
Comoros,773170,940432,832608,842255,778510,727954,697362,851998,937273,1048978,1077893,1013877
Cook Islands,955882,789609,919567,753662,685733,641384,646320,731831,885495,875374,989145,959632
Costa Rica,640436,856873,930318,841380,715009,651048,655891,685498,689660,576538,651812,772644
Cote d'Ivoire,835239,830663,822312,828661,740345,669410,610919,611377,637474,723368,736183,800518
Croatia,226387,303163,474470,837654,915237,913060,957679,866423,671785,446446,242371,192721
Cuba,542070,778831,910233,965019,768969,976853,1032374,971319,868231,745020,683056,585729
Curacao/Netherlands Antilles,766271,836263,995822,963297,970165,1010670,980057,1001351,952231,794005,770741,789519
Cyprus,420278,540362,803999,993562,1092232,1133088,1158121,1054034,877240,659199,464179,360262
Czech Republic,121172,282967,417440,775277,858566,800714,889742,761838,536873,346702,166786,96570
Democratic People's Republic of Korea,404952,549165,694925,799053,801168,817131,732440,643122,668359,549543,367807,333683
Democratic Republic of the Congo,808686,821206,829984,760724,759456,789217,792449,803269,823540,817086,801918,749063
Denmark,76962,204890,330604,641977,974612,981203,998537,645399,430224,255487,96611,52428
Djibouti,841914,919441,1014118,982241,948970,836388,876446,929399,919710,899438,854527,814573
Dominica,744474,841693,965315,984341,1011917,964501,983030,973902,917633,843617,738005,731133
Dominican Republic,609533,758308,876375,919096,932629,978179,989892,945269,848559,702752,701920,674300
Ecuador,682731,696443,732871,699211,620000,580226,615887,683065,790820,761128,685599,661843
Egypt,683521,773460,993650,1126961,1163692,1202420,1179010,1104120,980431,837375,696545,618788
El Salvador,816178,903812,1016719,943699,881018,838525,990260,954811,848071,660707,807155,805703
Equatorial Guinea,686748,697712,730921,712706,639375,596170,572190,600309,589808,619600,632819,640342
Eritrea,761199,909004,1016457,1025704,1062180,935790,866164,867278,922825,897192,817580,754367
Estonia,48364,163913,378422,607191,979969,927897,811946,642264,398960,188267,58874,28774
Ethiopia,927520,966753,951563,865112,836309,720775,720905,783705,885129,853417,834112,848989
Faeroe Islands,36940,116844,281359,528582,672635,705297,603856,571215,345676,158047,55650,15578
Falkland Islands (Malvinas),1005090,807818,587952,319048,148585,108577,126008,245503,463523,676742,1013260,1112363
Fiji,955654,797457,734359,674632,675762,563075,634229,729794,752998,771227,977416,888637
Finland,19272,105431,325118,555840,875739,807781,830870,552845,293394,134755,24277,7785
France,160234,331638,463803,725368,846003,919328,966997,818854,665728,406694,231612,148248
French Guiana,590552,505350,689011,600184,538692,599882,649214,857850,906172,918719,715906,556502
French Polynesia,1005113,875345,922193,812486,720430,628593,661684,745166,842021,965528,1039356,1022541
French Southern Territories,823275,730794,511236,341290,244951,185788,203078,337400,469377,698333,754810,920550
Gabon,697255,707391,754640,724711,628032,611840,588008,596576,628639,661248,653673,634136
Gambia,846295,887532,1034353,1096079,1099390,956391,705032,661641,690953,861289,802980,810727
Georgia,746308,863488,1251780,1704356,1665791,1935661,1839070,1634347,1388579,1101124,702723,533068
Germany,109184,284807,407117,730016,896441,805186,924058,736669,525770,323957,168371,79788
Ghana,877023,849732,866737,878945,780122,698508,653558,632141,674737,762415,801624,834526
Greece,357726,411135,672918,958853,1000634,1049950,1090991,983842,769628,551535,352745,289504
Greenland,6368,48881,253573,644920,1042601,1185302,1049041,708173,342480,96770,12848,2062
Grenada,755405,870180,938563,971559,979236,942257,901716,912233,884682,787027,766758,805419
Guadeloupe,734738,831356,969532,1001564,1019973,984279,990324,974003,919097,840974,732883,719534
Guam,798836,863627,978535,961079,942181,859178,709310,712322,691394,781902,774566,688012
Guatemala,586751,751132,926158,908620,894001,781960,912569,848808,786577,654572,663026,675166
Guernsey,132724,306654,413629,700223,966007,971380,1009718,738181,604148,366013,213609,102726
Guinea,871338,890062,941320,959296,931939,725629,612211,541390,661468,777331,792937,839691
Guinea-Bissau,857769,880633,1019363,1058031,1061901,834060,631171,606690,608790,780348,811365,815702
Guyana,698171,650789,767537,644176,544540,547217,623729,805543,813078,878833,680961,609387
Haiti,634654,858892,945090,985787,969651,1033753,1056760,1019000,903492,758069,748500,713683
Heard Island and McDonald Islands,849386,563222,387292,250183,142709,78457,108431,205434,386631,651280,723380,881574
Honduras,538559,752064,910820,903787,865772,803297,895684,851963,821799,674404,675245,638938
Hong Kong (China),445633,587781,764772,776460,920233,761251,817941,604225,758942,708111,512857,480015
Hungary,175685,256105,426021,779716,919924,856147,870571,818628,592261,400059,211975,138340
Iceland,18507,95736,296593,524884,715483,653581,536988,493647,312639,126788,28096,4270
India,722814,808231,938437,1001587,998956,814143,584963,575772,719421,778561,687236,632497
Indonesia,692507,773211,758634,747047,703966,686354,715157,789342,831992,821865,737704,703053
Iraq,525581,563682,870978,987830,1085753,1182321,1169678,1107630,938770,697817,441993,418665
Ireland,108849,244328,369702,550338,729882,867022,731712,517280,390439,248600,123463,63085
Islamic Republic of Iran,565434,641061,884326,966846,1082111,1172248,1146500,1079878,929785,710452,515774,497633
Isle of Man,112770,249789,386607,573809,856038,959504,801898,591368,442935,246139,123530,65209
Israel,461001,610324,862508,1007047,1059698,1158460,1148277,1049344,906146,687571,521412,413701
Italy,294826,367548,546104,855695,873436,1000921,1026457,875777,700001,448478,281339,259949
Jamaica,608773,798008,926177,1008943,891059,981016,1029870,1007629,891677,741288,746261,681301
Japan,351900,504898,651218,788829,797313,759146,807800,756170,550781,508740,384623,292510
Jersey,133455,315536,422878,692038,961596,948310,995748,729963,616384,369423,226036,105366
Jordan,530146,637056,916682,1034232,1080815,1210788,1202849,1130012,961155,748479,530930,487676
Kazakhstan,250881,352852,533491,786139,971446,1029660,1005943,844394,644337,388498,221854,176069
Kenya,986607,1014738,873979,759398,787807,757306,770220,832190,945148,896861,877553,866248
Kiribati,958185,935286,988799,970966,908016,855055,859272,930295,996740,1016679,949722,844140
Korea,407669,572643,666104,807295,808469,851949,850508,746975,602692,573467,416942,348756
Kosovo,284404,322058,534600,852314,930444,826297,839751,838655,729684,491050,290623,235697
Kuwait,613068,693223,925140,1001032,1110165,1151598,1120051,1099976,953269,768802,507470,528556
Kyrgyzstan,383888,546009,731297,956706,1007984,1043515,1051492,959276,792137,550242,393732,339279
Lao People's Democratic Republic,564477,722557,815032,849350,817891,606861,529774,520520,693605,696157,651687,564443
Latvia,61798,186095,377721,620844,960143,920247,796378,648111,442919,229859,72930,36817
Lebanon,408802,541499,811679,977231,1036089,1135030,1173711,1065311,901935,653126,464559,323789
Lesotho,1139870,927096,789457,662923,587172,571090,594125,700206,913999,1048417,1197388,1192369
Liberia,738442,762085,704170,678727,631532,564510,536980,549270,538460,651431,663521,706554
Libya,672159,748954,996799,1098815,1134993,1162721,1189871,1070671,980907,790449,682550,596303
Lithuania,73344,201023,395089,645425,937907,902254,756268,656294,463842,263291,88659,43358
Luxembourg,102456,322853,380302,731691,907375,808858,935098,762623,578139,360908,177591,87277
Madagascar,822453,896080,825259,769045,690657,617846,618618,793128,922292,1003470,1002390,1023643
Malawi,825430,835718,802070,746882,735657,734486,666254,906688,983488,1026109,957450,720762
Malaysia,617326,777342,824050,805948,745740,760950,766270,842693,773391,730020,690561,662084
Maldives,889205,909500,960494,867719,714604,799127,810375,899534,871032,799229,809709,839433
Mali,816930,861916,1037853,1109412,1105353,1065107,1000226,913885,936226,909656,817417,794804
Malta,418658,485551,781530,983813,1052069,1141731,1147445,968827,765794,541023,404060,371747
