Pais,enero,febrero,marzo,abril,mayo,junio
Afghanistan,508901,697356,877978,1075681,1161455,1210801
Aland Islands,44873,141756,420751,705265,891432,1012216
Albania,339703,445433,706938,823007,1005982,1063160
Algeria,651642,773320,935291,1106895,1172519,1181672
American Samoa,951869,736352,953109,838148,713323,687199
Angola,861233,818775,805169,786676,842877,818267
Anguilla,725782,787308,945862,997294,1015834,1026840
Antigua and Barbuda,741826,818692,936527,990458,997669,1004627
Argentina,1122188,996637,819624,617485,460632,395041
Armenia,391550,542720,684679,896127,918796,1022968
Aruba,823256,887199,972674,947218,975661,983340
Australia,1033364,1025418,909088,735252,576301,525155
Austria,207518,349925,630080,688082,791746,870626
Azerbaijan,363253,489057,579069,889623,848829,1053692
Bahamas,591855,712246,872613,947786,954518,944060
Bahrain,609639,798589,934318,1002113,1137812,1121609
Bangladesh,603248,753326,906592,809348,738066,591654
Barbados,786213,851023,948379,946053,961369,911540
Belarus,93874,224785,473007,521899,793441,899853
Belgium,123890,232577,538559,668050,819645,863083
Belize,596014,673915,818314,927393,876945,837759
Benin,899139,967623,959757,900312,903938,824729
Bermuda,376078,516708,726499,843204,976038,949163
Bhutan,583130,639369,797208,700591,781759,520154
Bolivarian Republic of Venezuela,808308,781400,789123,790073,734386,659810
Bonaire Saint Eustatius and Saba,772164,834648,952093,964053,978393,976834
Bosnia and Herzegovina,267852,376859,663228,741642,925181,1000775
Botswana,942544,1054357,807928,742800,716861,634631
Bouvet Island,856088,639310,393870,181397,123777,64276
Brazil,791742,776838,725354,723291,667687,652929
British Indian Ocean Territory,795618,863027,890721,890434,810550,697004
British Virgin Islands,727905,794210,945991,999183,995618,1038931
Brunei Darussalam,666904,771266,754245,759189,777405,765257
Bulgaria,290579,405713,646759,789278,969753,956024
Burkina Faso,884847,973398,998905,980199,983717,953564
Burundi,743954,732896,850233,726413,699671,730430
Cambodia,805684,790048,860117,868357,679157,859363
Cameroon,914825,981244,955395,833625,807044,725065
Canada,100778,223636,430965,696545,845907,905271
Cape Verde,687556,824658,975820,1071963,1082976,1031949
Cayman Islands,704833,800474,915834,987182,967737,946606
Central African Republic,947768,1024049,1004883,912985,896409,802510
Chad,877185,998303,1088195,1101023,1099370,1051045
Chile,1057934,967643,748708,561317,432110,343435
Chinese Taipei,422128,454729,665801,768698,593483,801013
Colombia,793973,751896,726292,682686,623859,618814
Comoros,899077,818577,849614,826579,777389,732750
Cook Islands,856713,936439,917823,825175,668291,646145
