Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,598733,707786,848149,1074701,1145480,1251345,1150931,1112036,959533,768811,581403,496186
Aland Islands,34261,142109,347586,705202,768208,1033537,967437,640644,390074,165096,62026,27185
Albania,257609,453888,649511,799812,970558,1102846,1086824,974060,719420,458293,304994,241615
Algeria,653032,792362,944211,1093114,1137262,1165236,1163253,1100209,990341,834174,656781,589073
American Samoa,891551,815334,859294,790120,749006,647223,713473,735999,956288,964056,960019,967656
Angola,852427,879095,799240,816723,827197,819429,846181,872289,948593,958295,927752,885850
Anguilla,709366,819960,945377,1002954,1030886,937926,1004976,964447,912641,831772,733917,676835
Antigua and Barbuda,732308,840156,956415,981499,1026812,934755,994344,968796,928653,826969,767644,707317
Argentina,1098673,984943,768499,590940,460651,375079,467773,601868,739431,987144,1078310,1149376
Armenia,388057,558146,699929,890602,969689,1103761,969507,965917,742897,533611,396174,359015
Aruba,798361,888560,945946,975950,972499,931962,1000971,981925,998961,851343,797348,749769
Australia,1054510,952028,863584,787972,630408,520513,571097,718351,893814,1022083,1032471,1153945
Austria,195833,362831,574582,729322,736228,956785,825036,659714,586580,384994,221336,152385
Azerbaijan,350785,476263,609116,893459,921273,1074476,983894,968928,658645,432225,362582,309083
Bahamas,575152,745996,882081,1008119,1042643,1005360,1025319,958555,896776,718960,581556,582167
Bahrain,648776,751654,937781,1060460,1146993,1125049,1048854,1050920,951823,816919,689097,564002
Bangladesh,666052,808281,917097,990464,801166,556303,573951,551457,645982,628148,659372,560734
Barbados,775832,846626,934167,977917,994239,912111,935949,907823,955310,837205,821258,759244
Belarus,97785,234325,400158,640800,732263,932184,869206,594422,385288,296073,94059,68223
Belgium,106394,274203,458957,730752,759866,784338,713992,621207,527783,269620,143295,81538
Belize,564110,742007,861437,934827,926422,840849,894564,895375,843860,742166,590764,625517
Benin,895993,958411,937578,992775,934445,888938,769411,673258,797324,864126,860945,875173
Bermuda,355035,546823,624228,837513,1003128,1083960,937813,995075,766831,586225,397052,394858
Bhutan,497846,683132,743143,886933,704503,634552,530300,473943,667369,603090,532345,527315
Bolivarian Republic of Venezuela,748662,816350,791298,773210,695541,703744,694756,746556,859035,790050,767181,682364
Bonaire Saint Eustatius and Saba,748443,848804,945604,976127,1013124,909831,980530,954763,940229,842550,774998,717508
Bosnia and Herzegovina,227880,383264,578958,739575,886205,1035378,943352,833726,667177,388844,214128,169489
Botswana,857928,789022,923004,890343,755024,653064,705212,822177,982894,1084584,1129414,1039085
Bouvet Island,829821,563766,394991,214137,106202,66524,78614,158938,308522,482921,734313,857146
Brazil,799212,754527,756441,726697,682334,655912,720731,796081,875890,858925,791182,740418
British Indian Ocean Territory,806603,875276,952674,857152,749121,697912,677588,741828,811642,884560,877099,853516
British Virgin Islands,709844,814462,955565,1016354,1031656,956974,993260,960728,918608,823778,735521,675763
Brunei Darussalam,604066,748526,840916,871688,771288,762050,827482,753793,733515,762212,710522,654211
Bulgaria,245184,432949,568365,752251,920560,919144,1033555,914852,653834,361631,277028,200042
Burkina Faso,897452,957564,1008051,1049226,1009635,990848,864696,776358,930587,900603,893994,850700
Burundi,767480,789679,809132,664617,677890,748059,789747,798971,798466,816341,797873,675418
Cambodia,790622,906268,943439,861469,827664,794280,705979,756692,585374,579874,620335,709204
Cameroon,893449,964987,891859,858462,773769,735519,694537,686063,718851,738579,803087,840804
Canada,94928,225086,446547,690159,850718,872226,804496,584830,372356,211475,100288,67892
Cape Verde,737222,873044,1011955,1081136,1077302,1067740,988374,950453,936877,907321,726526,702169
Cayman Islands,679574,814046,935657,1041770,1046835,1021909,1035471,939078,938735,805370,659636,679126
Central African Republic,946339,1020021,959609,960800,823272,809219,730866,781445,801112,859965,874413,891698
Chad,893229,986262,1074421,1144916,1110545,1051422,962063,965605,973770,947201,898806,840643
Chile,1058690,973422,773410,561969,411903,354035,388227,501836,693431,901503,1055287,1114065
Chinese Taipei,479306,626360,729207,751223,912108,732559,886378,731915,827824,597807,480227,422541
Colombia,771736,790182,738798,672235,617994,633579,638481,701598,773413,733581,720498,720716
Comoros,951686,808557,914870,747916,787216,740621,753138,837840,955034,1001056,1045606,1083555
Cook Islands,1049089,910422,886522,818758,662028,633525,687505,743846,908759,949806,1010106,932504
Costa Rica,759145,826797,903227,801029,723325,708048,678383,647565,691224,668600,621647,686118
Cote d'Ivoire,816410,848380,848527,876089,836872,733042,625553,625160,700908,771954,786768,814091
Croatia,222971,375673,635252,755723,912108,1083848,991180,866536,691053,423443,225917,187154
Cuba,643255,778550,912469,1000429,995969,957120,1011104,921494,899167,753941,624144,633893
Curacao/Netherlands Antilles,787268,864190,931392,940686,972466,907694,973377,967456,966735,845857,807735,741982
Cyprus,436326,623088,783339,996049,1158492,1189311,1162284,1066626,881702,680128,487998,346578
Czech Republic,144654,277873,484850,662716,745567,915029,812124,633845,510994,361875,149134,94702
